id,title,creator,date,url
1,Budapest Chainbridge,,1907,https://www.europeana.eu/en/item/440/item_UBMLSJFMKZCDOGRRMBW2UY5RDAL3V4IP
2,"Caffe Nero entrance, Manchester","Sankey, J. Gibbons",1896,https://www.europeana.eu/en/item/2026101/Partage_Plus_ProvidedCHO_Culture_Grid_PP0343_MMU
3,Three red-figure attic vases,,5th century AD,https://www.europeana.eu/en/item/369/_129030
4,Bronze Enamel Ring Pin,,Early Medieval,https://www.europeana.eu/en/item/325/MG061
5,An Overshot Mill in Wales,James Ward,1847,https://www.europeana.eu/en/item/2063624/UK_280_014
6,"Crambus perlella (Scopoli, 1763) ","The Trustees of the Natural History Museum, London",1763,https://www.europeana.eu/en/item/854/NHMUKXBMNHXEXXNHMUK013979616
7,Glass-plate Slide,Erica Wagner,,https://www.europeana.eu/en/item/9200271/BibliographicResource_3000058904600
8,Fashion artist Riitta Immonen,Riitta Immonen,1949,https://www.europeana.eu/en/item/2021009/_49F3124C23DA8F15FB71B05E19A14B0A
9,Three Riders at the Sea ,Jean-Maxime Claude,1882,https://www.europeana.eu/en/item/2064116/Museu_ProvidedCHO_Nationalmuseum__Sweden_18600
10,Oilpainting of Ettingen Village,Alois Kron,,https://www.europeana.eu/en/item/2058611/_kimbl_3cd913c5_b586_4dd7_813b_14708e134f5e
11,Painting,Soja Feldmaier,2007,https://www.europeana.eu/en/item/2058611/_kimbl_8a7b633f_8dfa_4bdb_ab43_5c7acb1d06ca
12,"Two girls, with cempaka flowers in their hair",,1932-1940,https://www.europeana.eu/en/item/2048221/europeana_fashion_496757
